Supplement,ME_Supp,DMD_pct_Supp,N_pct_Supp,Feed_Utilisation_pct
"Apple Pomace, Byproduct",13,0.0089,1.1000000000000002e-4,0.0085
"Apple, Byproduct",11.9,0.008199999999999999,6e-5,0.0085
"Barley Grain, Concentrate",12.9619545786914,0.009038501560874091,1.89779524321554e-4,0.0085
"Barley, Silage",9.80012479757142,0.00642739079102715,1.81007890003546e-4,0.0085
"Bread, Byproduct",14,0.0095,2.08e-4,0.0085
"Brewers Grain, Concentrate",10,0.0079,4e-4,0.0085
"Broll, Concentrate",11.1421369190252,0.007277025763608311,2.72539145961538e-4,0.0085
"Cabbage, Byproduct",13,0.0089,3.2e-4,0.0085
"Canola, Byproduct",11,0.0075,2.72e-4,0.0085
"Canola Meal, Concentrate",11.5,0.00767771666418909,6.1e-4,0.0085
"Carrot, Byproduct",13.3,0.0091,1.52e-4,0.0085
"Cereal, Silage",9.49464945047957,0.0061959858323494595,1.85532813776013e-4,0.0085
"Chicory, Forage",12.75,0.00860182998819362,3.7e-4,0.008
"Citrus Pulp, Byproduct",12.6,0.0086,1.1200000000000001e-4,0.0085
"Other Concentrates, Concentrate",13,0.0085,2.4e-4,0.0085
"Condensed Distillers Syrup, Concentrate",15,0.00981462762003865,2.5499999999999996e-4,0.0085
"Corn Grits, Concentrate",13.5,0.0092,1.84e-4,0.0085
"Cottonseed, Byproduct",16,0.8328080868143303,3.7000000000000005e-4,0.0085
"Cottonseed Meal, Concentrate",11.1161409647916,0.007631633714880331,8.111869882e-4,0.0085
"Dried Distillers Grain, Concentrate",12.8318699217073,0.007809573361082201,4.76760772133333e-4,0.0085
"Fishmeal, Byproduct",11,0.0075,0.001109,0.0085
"Fodderbeet, Forage",12.1230669388997,0.00862539021852237,1.95926785975e-4,0.008
"Other Food Wastes, Byproduct",12.06,0.006999999999999999,1.28e-4,0.0085
"Grape Pomace, Byproduct",13,0.0089,1.1200000000000001e-4,0.0085
"Japanese Millet, Forage",9,0.0062,1.9199999999999998e-4,0.008
"Kale, Forage",12.6718604524504,0.00854663518299882,2.8074475010997e-4,0.008
"Kiwifruit, Byproduct",12,0.008199999999999999,8e-5,0.0085
"Lucerne, Forage",11,0.00731050767414403,4.8e-4,0.008
"Lucerne, Baleage",10,0.0068000000000000005,3.68e-4,0.0085
"Lucerne Meal, Concentrate",10,0.0068000000000000005,3.2e-4,0.0085
"Lucerne, Silage",9.35972016579354,0.0061216056670602105,3.08274123145832e-4,0.0085
"Lupin, Concentrate",12.1,0.00775204400178386,5.5e-4,0.0085
"Maize, Forage",9.5,0.006500000000000001,1.1000000000000002e-4,0.008
"Maize Grain, Concentrate",13.7706590359473,0.00938813735691987,1.3981281909215e-4,0.0085
"Maize, Silage",10.8597345176411,0.0072077922077921994,1.25105046725438e-4,0.0085
"Pasture, Baleage",9.96716497314754,0.0065619834710743796,2.2923071738041202e-4,0.0085
"Pasture, Silage",9.87923165187637,0.00649917987361042,2.36137065038612e-4,0.0085
"Molasses, Concentrate",12,0.0095,6e-5,0.0085
"Oat, Forage",9,0.0086,2.08e-4,0.008
"Oat Grain, Concentrate",11.5,0.008199999999999999,1.8700000000000002e-4,0.0085
"Oat Hull Pellets, Concentrate",11,0.005,1.8e-4,0.0085
"Oat, Silage",8.9979423561111,0.00584651711924439,1.9063680321999897e-4,0.0085
"Onion, Byproduct",12,0.008199999999999999,1.6e-4,0.0085
"Palm Kernel Extract, Concentrate",11.5575288572327,0.008199999999999999,2.7939646275101996e-4,0.0085
"Pasture, Hay",8.5,0.00546576151121605,1.8999999999999998e-4,0.0085
"Pea, Silage",8.8,0.0072,2.1e-4,0.0085
"Pea Dried, Concentrate",13.2,0.009000000000000001,4.0999999999999994e-4,0.0085
"Plantain, Forage",11.5,0.00767945690672963,2.75e-4,0.008
"Plantain, Silage",8.87692274777777,0.005743801652892559,2.1042153899999998e-4,0.0085
"Pollard, Byproduct",11,0.0075,2.72e-4,0.0085
"Potato, Byproduct",12.5,0.0086,1.7e-4,0.0085
"Proliq, Byproduct",11.3,0.0077,1.2e-4,0.0085
"Rape, Forage",13.021247895673,0.00880283353010625,3.41862204137055e-4,0.008
"Sorghum, Forage",9,0.0062,1.9199999999999998e-4,0.008
"Sorghum, Silage",8.10195863963414,0.0051582054309327,2.02164023445783e-4,0.0085
"Soya Bean Hull, Concentrate",12,0.00823517169614984,2.1999999999999998e-4,0.0085
"Soya Bean Meal, Concentrate",12.7519314161867,0.00890218522372528,8.27054420532915e-4,0.0085
"Squash, Byproduct",13,0.0089,1.6e-4,0.0085
"Sugar Beet, Forage",11,0.0084,1.5e-4,0.008
"Sulla, Forage",10,0.0068000000000000005,3.7999999999999997e-4,0.008
"Sunflower Pellets, Concentrate",10.7,0.00611,5.18e-4,0.0085
"Swede, Forage",13.5401100525757,0.00858813890945894,3.0871490582000003e-4,0.008
"Sweetcorn Waste, Byproduct",8,0.0060999999999999995,1.3000000000000002e-4,0.0085
"Tapioca, Concentrate",11.288795629932,0.00796357960457856,6.323980385106379e-5,0.0085
"Triticale, Forage",8.6,0.00553955135773318,2.2000000000000003e-4,0.008
"Triticale, Silage",8.60808221333333,0.005541912632821721,1.51594520041095e-4,0.0085
"Turnip, Forage",13.5401100525757,0.00858813890945894,3.0871490582000003e-4,0.008
"Wheat Grain, Concentrate",13.3769491491684,0.00940686784599375,2.1234518162903198e-4,0.0085
"Whey Concentrate, Concentrate",11.3,0.009130000000000001,2e-4,0.0085
"Wheat, Straw",6.9,0.0051,6.4e-5,0.0085
"Barley, Straw",6.9,0.0051,6.4e-5,0.0085
"Oat, Straw",6.9,0.0051,5.4000000000000005e-5,0.0085
"Ryegrass, Straw",6.9,0.0051,9.599999999999999e-5,0.0085
"Pea, Straw",6.9,0.0051,1.28e-4,0.0085
"Maize, Straw",6.9,0.0051,8e-5,0.0085
